plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG03,58733280,2011-09-01T00:00,NA,NA,NA,93.72,13.93,25.32,4.91
AEG03,58776480,2011-10-01T00:00,NA,NA,NA,94.86,7.24,23.15,-3.32
AEG03,58821120,2011-11-01T00:00,NA,NA,NA,98.36,3.24,18.27,-6.54
AEG03,58864320,2011-12-01T00:00,NA,NA,NA,99.89,0.94,9.87,-7.30
AEG03,58908960,2012-01-01T00:00,NA,NA,NA,99.89,-0.77,6.58,-9.76
AEG03,58953600,2012-02-01T00:00,NA,NA,NA,98.02,-5.75,9.66,-20.11
AEG03,58995360,2012-03-01T00:00,NA,NA,NA,NA,5.86,18.50,-4.75
AEG03,59040000,2012-04-01T00:00,NA,NA,NA,NA,6.28,25.74,-3.95
AEG03,59083200,2012-05-01T00:00,NA,NA,NA,98.20,12.28,26.25,-1.88
AEG03,59127840,2012-06-01T00:00,NA,NA,NA,99.43,14.77,30.02,3.20
AEG03,59171040,2012-07-01T00:00,NA,NA,NA,99.87,15.57,30.19,6.78
AEG03,59215680,2012-08-01T00:00,NA,NA,NA,99.81,17.25,30.98,7.40
AEG03,59260320,2012-09-01T00:00,NA,NA,NA,98.75,12.15,27.11,0.80
AEG03,59303520,2012-10-01T00:00,NA,NA,NA,99.78,7.25,23.45,-8.86
AEG03,59348160,2012-11-01T00:00,NA,NA,NA,99.86,3.28,13.66,-8.73
AEG03,59391360,2012-12-01T00:00,NA,NA,NA,97.71,-0.69,13.82,-11.84
AEG03,59436000,2013-01-01T00:00,NA,NA,NA,99.17,-1.90,9.38,-9.37
AEG03,59480640,2013-02-01T00:00,NA,NA,NA,98.60,-3.96,5.65,-12.10
AEG03,59520960,2013-03-01T00:00,NA,NA,NA,91.11,-0.31,17.62,-10.91
AEG03,59565600,2013-04-01T00:00,NA,NA,NA,91.96,6.34,21.33,-6.32
AEG03,59608800,2013-05-01T00:00,NA,NA,NA,96.67,8.74,20.25,-1.17
AEG03,59653440,2013-06-01T00:00,NA,NA,NA,93.87,13.86,31.07,4.36
AEG03,59696640,2013-07-01T00:00,NA,NA,NA,73.67,18.51,31.52,7.32
AEG03,59741280,2013-08-01T00:00,NA,NA,NA,82.07,16.14,30.73,7.23
AEG03,59785920,2013-09-01T00:00,NA,NA,NA,92.06,11.98,26.38,4.30
AEG03,59829120,2013-10-01T00:00,NA,NA,NA,94.27,9.11,19.72,0.08
AEG03,59873760,2013-11-01T00:00,NA,NA,NA,98.03,1.87,12.73,-9.82
AEG03,59916960,2013-12-01T00:00,NA,NA,NA,88.49,1.37,12.89,-7.12
