Explo;EP_Plotid;initial_landuse_type;2006;2007;2008;2009;2010;2011;2012;new_landuse_type;notes
HAI;HEG28;Meadow_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_???;Meadow_???;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_unfertilised;Mown pasture_fertilised;sometimes no informations about used fertiliser
HAI;HEG29;Meadow_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_???;Mown pasture_cattle_???;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_unfertilised;Mown pasture_fertilised;sometimes no informations about used fertiliser
HAI;HEG30;Meadow_fertilised;Mown pasture_cattle_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Mown pasture_fertilised;
HAI;HEG31;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;
HAI;HEG32;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;
HAI;HEG33;Mown pasture_cattle_fertilised;Pasture_cattle_fertilised;Mown pasture_cattle_???;Mown pasture_cattle_???;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_fertilised;sometimes no informations about used fertiliser
HAI;HEG34;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_fertilised;
HAI;HEG35;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_fertilised;
HAI;HEG36;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
HAI;HEG37;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
